days,likes,shares,reads,week_day
05/05/19,1908,1816,0,4
05/04/19,1316,1562,0,5
05/03/19,1656,0,0,6
05/02/19,2071,0,0,7
05/01/19,1374,0,0,1
04/12/18,1771,0,0,2
04/11/18,1589,0,0,3
04/10/18,2834,0,0,4
04/09/19,3730,610,49057,5
04/09/18,2408,0,0,6
04/08/19,2487,886,0,7
04/08/18,1697,0,0,1
04/07/19,1871,1758,0,2
04/07/18,1305,0,0,3
04/06/19,1759,1648,0,4
04/06/18,76,0,0,5
04/05/19,1964,1565,0,6
04/04/19,1345,1639,0,7
04/03/19,2109,0,0,1
04/02/19,1998,0,0,2
04/01/19,1570,0,0,3
03/12/18,1365,0,0,4
03/11/18,2019,0,0,5
03/10/18,2483,0,0,6
03/09/19,4252,736,49406,7
03/09/18,2229,0,0,1
03/08/19,2479,792,0,2
03/08/18,1714,0,0,3
03/07/19,1698,1913,0,4
03/07/18,1248,0,0,5
03/06/19,1537,1827,0,6
03/06/18,60,0,0,7
03/05/19,1513,1422,0,1
03/04/19,1590,1527,0,2
03/03/19,2239,0,0,3
03/02/19,2346,0,0,4
03/01/19,1697,0,0,5
02/12/18,1953,0,0,6
02/11/18,1429,0,0,7
02/10/18,3672,0,0,1
02/09/19,3737,677,44555,2
02/09/18,3030,0,0,3
02/08/19,2560,903,0,4
02/08/18,2239,0,0,5
02/07/19,1588,1994,0,6
02/07/18,1291,0,0,7
02/06/19,1667,1885,0,1
02/06/18,29,0,0,2
02/05/19,1521,1277,0,3
02/04/19,1681,2066,0,4
02/03/19,1984,0,0,5
02/02/19,1909,0,0,6
02/01/19,1517,0,0,7
01/12/18,1862,0,0,1
01/11/18,1877,0,0,2
01/10/18,1960,0,0,3
01/09/19,4882,790,53794,4
01/09/18,2176,0,0,5
01/08/19,2847,963,0,6
01/08/18,2158,0,0,7
01/07/19,1614,1968,0,1
01/07/18,1305,0,0,2
01/06/19,1412,1338,0,3
01/06/18,1370365,0,0,4
01/05/19,903,1346,0,5
01/04/19,1654,1649,0,6
01/03/19,1583,0,0,7
01/02/19,1859,0,0,1
01/01/19,1544,0,0,2
