id,featured,format_name,lang,verified,views,shares,likes
292,0,musing,en,Not Verified,33,2,24
293,0,short story,en,Not Verified,4,1,2
294,0,rant,en,Not Verified,4,1,11
295,0,thought,en,Not Verified,11,1,23
296,0,poem,en,Not Verified,1,1,6
297,0,140,en,Not Verified,1,4,1
298,0,thought,en,Verified,1,2,6
299,1,diary,en,Verified,3,2,91
300,0,thought,en,Not Verified,1,2,1
301,0,thought,en,Verified,3,2,11
302,0,open letter,en,Not Verified,2,2,2
303,0,short story,en,Not Verified,2,1,2
304,0,thought,en,Not Verified,3,4,6
305,0,140,en,Not Verified,1,2,1
306,0,thought,en,Not Verified,1,2,6
307,0,poem,en,Not Verified,5,1,3
308,0,rant,en,Not Verified,13,1,13
309,0,poem,en,Not Verified,1,1,2
310,0,poem,en,Verified,32,1,24
311,0,open letter,en,Not Verified,2,3,1
312,1,thought,en,Verified,4,1,77
313,0,140,en,Not Verified,2,2,1
314,0,thought,en,Not Verified,1,1,2
315,0,musing,en,Not Verified,9,1,13
316,0,open letter,en,Not Verified,22,5,70
317,0,musing,en,Not Verified,8,4,10
318,0,140,en,Not Verified,1,1,1
319,0,140,en,Not Verified,1,4,2
320,1,page,en,Verified,3,3,61
321,0,open letter,en,Not Verified,3,2,8
322,0,poem,en,Not Verified,2,1,3
323,0,open letter,en,Verified,1,5,13
324,0,musing,en,Not Verified,1,2,1
325,0,poem,en,Not Verified,7,3,1
326,1,rant,en,Verified,10,1,65
327,1,poem,en,Verified,4,4,71
328,0,140,en,Verified,9,5,52
329,0,short story,en,Not Verified,8,1,4
330,0,open letter,en,Not Verified,7,2,2
331,0,poem,en,Not Verified,1,1,1
332,1,musing,en,Verified,7,2,47
333,1,short story,en,Verified,4,2,28
334,0,poem,en,Not Verified,1,2,1
335,0,musing,en,Verified,1,2,24
336,1,musing,en,Verified,1,1,58
337,0,140,en,Not Verified,18,1,4
338,0,thought,en,Verified,1,2,21
339,0,poem,en,Not Verified,5,4,2
340,1,open letter,en,Verified,7,2,66
341,0,thought,en,Not Verified,1,1,1
342,0,open letter,en,Not Verified,3,1,2
343,0,open letter,en,Not Verified,12,2,3
344,0,140,en,Not Verified,5,6,2
345,0,open letter,en,Not Verified,2,3,2
346,0,open letter,en,Not Verified,1,2,2
347,0,140,en,Not Verified,33,1,7
348,1,musing,en,Verified,6,2,34
349,0,open letter,en,Not Verified,31,1,21
350,0,thought,en,Not Verified,5,2,2
351,0,140,en,Verified,1,3,16
352,0,thought,en,Verified,10,2,20
353,0,140,en,Not Verified,4,1,1
