"days","likes","shares","reads"
"13/03/2019",1830,0,0
"13/02/2019",2330,0,0
"13/01/2019",1801,0,0
"12/12/2018",1627,0,0
"12/11/2018",2324,0,0
"12/10/2018",2217,0,0
"12/09/2019",3960,790,50387
"12/09/2018",2438,0,0
"12/08/2019",3357,857,0
"12/08/2018",1806,0,0
"12/07/2019",1704,2063,0
"12/07/2018",1375,0,0
"12/06/2019",1754,1832,0
"12/06/2018",2084,0,0
"12/05/2019",1333,1619,0
"12/04/2019",1222,1606,0
"12/03/2019",2043,1,0
"12/02/2019",2373,0,0
"12/01/2019",1375,0,0
"11/12/2018",1441,0,0
"11/11/2018",1990,0,0
"11/10/2018",2257,0,0
"11/09/2019",3265,710,47855
"11/09/2018",1991,0,0
"11/08/2019",3399,761,0
"11/08/2018",2008,0,0
"11/07/2019",1794,2098,0
"11/07/2018",1381,0,0
"11/06/2019",2423,1934,0
"11/06/2018",2237,0,0
"11/05/2019",1520,1490,0
"11/04/2019",2028,1934,0
"11/03/2019",2256,0,0
"11/02/2019",2277,0,0
"11/01/2019",1755,0,0
"10/12/2018",1740,0,0
"10/11/2018",2227,0,0
"10/10/2018",2946,0,0
"10/09/2019",4256,776,62165
"10/09/2018",2288,0,0
"10/08/2019",2549,647,0
"10/08/2018",1918,0,0
"10/07/2019",1488,1715,0
"10/07/2018",1385,0,0
"10/06/2019",1805,2017,0
"10/06/2018",2239,0,0
"10/05/2019",1811,1938,0
"10/04/2019",1359,1553,0
"10/03/2019",1866,0,0
"10/02/2019",2574,0,0
"10/01/2019",2164,0,0
"09/12/2018",1283,0,0
"09/11/2018",2167,0,0
"09/10/2018",2708,0,0
"09/09/2019",4300,803,59418
"09/09/2018",2429,0,0
"09/08/2019",2661,798,0
"09/08/2018",2077,0,0
"09/07/2019",1820,1702,0
"09/07/2018",1557,0,0
"09/06/2019",1864,1910,0
"09/06/2018",2846,0,0
"09/05/2019",1746,1563,0
"09/04/2019",1121,1632,0
"09/03/2019",2093,0,0
"09/02/2019",2255,0,0
"09/01/2019",1943,0,0
"08/12/2018",1355,0,0
"08/11/2018",1970,0,0
"08/10/2018",2863,0,0
"08/09/2019",5050,852,61233
"08/09/2018",2654,0,0
"08/08/2019",2639,797,0
"08/08/2018",2035,0,0
"08/07/2019",1673,1680,0
"08/07/2018",1627,0,0
"08/06/2019",1758,1951,0
"08/06/2018",2455,0,0
"08/05/2019",1217,1421,0
"08/04/2019",1208,1632,0
"08/03/2019",2008,0,0
"08/02/2019",1765,0,0
"08/01/2019",1486,0,0
"07/12/2018",1373,0,0
"07/11/2018",1370,0,0
"07/10/2018",3517,0,0
"07/09/2019",4147,653,51739
"07/09/2018",1938,0,0
"07/08/2019",2732,812,0
"07/08/2018",1802,0,0
"07/07/2019",1793,1935,0
"07/07/2018",1336,0,0
"07/06/2019",1724,1683,0
"07/06/2018",2241,0,0
"07/05/2019",1587,1373,0
"07/04/2019",1599,1652,0
"07/03/2019",2022,0,0
"07/02/2019",2198,0,0
"07/01/2019",1857,0,0
"06/12/2018",1939,0,0
"06/11/2018",1449,0,0
"06/10/2018",3374,0,0
"06/09/2019",4352,684,51625
"06/09/2018",2226,0,0
"06/08/2019",2613,871,0
"06/08/2018",1518,0,0
"06/07/2019",1585,1861,0
"06/07/2018",1268,0,0
"06/06/2019",1485,1479,0
"06/06/2018",1916,0,0
"06/05/2019",1417,1407,0
"06/04/2019",1443,1570,0
"06/03/2019",1934,0,0
"06/02/2019",1680,0,0
"06/01/2019",1600,0,0
"05/12/2018",1728,0,0
"05/11/2018",1684,0,0
"05/10/2018",2820,0,0
"05/09/2019",4097,630,48272
"05/09/2018",2163,0,0
"05/08/2019",2114,747,0
"05/08/2018",1539,0,0
"05/07/2019",1372,1418,0
"05/07/2018",1300,0,0
"05/06/2019",1470,1453,0
"05/06/2018",1519,0,0
"05/05/2019",1908,1816,0
"05/04/2019",1316,1562,0
"05/03/2019",1656,0,0
"05/02/2019",2071,0,0
"05/01/2019",1374,0,0
"04/12/2018",1771,0,0
"04/11/2018",1589,0,0
"04/10/2018",2834,0,0
"04/09/2019",3730,610,49057
"04/09/2018",2408,0,0
"04/08/2019",2487,886,0
"04/08/2018",1697,0,0
"04/07/2019",1871,1758,0
"04/07/2018",1305,0,0
"04/06/2019",1759,1648,0
"04/06/2018",76,0,0
"04/05/2019",1964,1565,0
"04/04/2019",1345,1639,0
"04/03/2019",2109,0,0
"04/02/2019",1998,0,0
"04/01/2019",1570,0,0
"03/12/2018",1365,0,0
"03/11/2018",2019,0,0
"03/10/2018",2483,0,0
"03/09/2019",4252,736,49406
"03/09/2018",2229,0,0
"03/08/2019",2479,792,0
"03/08/2018",1714,0,0
"03/07/2019",1698,1913,0
"03/07/2018",1248,0,0
"03/06/2019",1537,1827,0
"03/06/2018",60,0,0
"03/05/2019",1513,1422,0
"03/04/2019",1590,1527,0
"03/03/2019",2239,0,0
"03/02/2019",2346,0,0
"03/01/2019",1697,0,0
"02/12/2018",1953,0,0
"02/11/2018",1429,0,0
"02/10/2018",3672,0,0
"02/09/2019",3737,677,44555
"02/09/2018",3030,0,0
"02/08/2019",2560,903,0
"02/08/2018",2239,0,0
"02/07/2019",1588,1994,0
"02/07/2018",1291,0,0
